Рег. №,Статус,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Председател,Секретар,E-mail,Телефон,Факс,линк,Връзка към сайт библиотеки,Информационна карта,Информационна карта 2016,Информационна карта 2017,Информационна карта 2018,Информационна карта 2019,Информационна карта 2020,Информационна карта 2021,Информационна карта 2022
1731,Действащо,Стефан Караджа-1942 г.,ДОБРИЧ,ГЕНЕРАЛ ТОШЕВО,СЕЛО МАЛИНА,"Първа, п.к.9559",000844106,Георги Костов Георгиев,Емилия Колева Василева,n.chitaliste_st.karadja_1942g@abv.bg,0887237118,-,https://chitalishta.com/index.php?act=community&do=detail&id=1539&reg_num=1731,http://bibliobg.com/index.php?act=community&do=detail&hash=d043f7be349621ddd22603d8d16f9fecb167f975,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55486,https://chitalishta.com/index.php?act=community&do=detail1&id=73160,https://chitalishta.com/index.php?act=community&do=detail1&id=84069,https://chitalishta.com/index.php?act=community&do=detail1&id=99785,https://chitalishta.com/index.php?act=community&do=detail1&id=105555
1732,Действащо,Възраждане 1928,СОФИЯ,СВОГЕ,СЕЛО ИСКРЕЦ,"Възраждане 1, п.к.2290",000761735,Васил Йосифов Дойчев,Ирина Радославова Димитрова,vazrajdane.iskretc@abv.bg,0884576747,-,https://chitalishta.com/index.php?act=community&do=detail&id=1540&reg_num=1732,http://bibliobg.com/index.php?act=community&do=detail&hash=23b2598085921bf4596a07aecb91e5bbe5ca2078,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=69536,https://chitalishta.com/index.php?act=community&do=detail1&id=80840,https://chitalishta.com/index.php?act=community&do=detail1&id=96837,
1733,Действащо,Надежда-1900,СОФИЯ,ЧАВДАР,СЕЛО ЧАВДАР,"Христо Ботев 32, п.к.2084",000761692,Иван Петров Терзиев,Татяна Тонева Николова,chitaliste_chavdar@abv.bg;dimitarneshkov@abv.bg,07189/22-26; 0876607160,-,https://chitalishta.com/index.php?act=community&do=detail&id=1541&reg_num=1733,http://bibliobg.com/index.php?act=community&do=detail&hash=ad40cd8fe84798481f3c699423dae912b7b7e381,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57294,,https://chitalishta.com/index.php?act=community&do=detail1&id=77436,https://chitalishta.com/index.php?act=community&do=detail1&id=91331,https://chitalishta.com/index.php?act=community&do=detail1&id=107174
1734,Действащо,Оборище-1897,СОФИЯ,ЗЛАТИЦА,СЕЛО ПЕТРИЧ,п.к. 2085,000761685,Тотка Велкова Петрова,-,ch.oborishte1897@abv.bg,0877 619 779,-,https://chitalishta.com/index.php?act=community&do=detail&id=3224&reg_num=1734,http://bibliobg.com/index.php?act=community&do=detail&hash=28a44c88431b99fc0cb959381577c16f1ed2dc42,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57091,https://chitalishta.com/index.php?act=community&do=detail1&id=75826,https://chitalishta.com/index.php?act=community&do=detail1&id=76718,,https://chitalishta.com/index.php?act=community&do=detail1&id=109516
1735,Действащо,Любен Каравелов -1927,СОФИЯ,МИРКОВО,СЕЛО КАМЕНИЦА,"Първа 1, п.к.2072",000762417,Иванка Ганчева Начева,-,todorka.1969@abv.bg,0877138374; 0878283199,-,https://chitalishta.com/index.php?act=community&do=detail&id=1542&reg_num=1735,http://bibliobg.com/index.php?act=community&do=detail&hash=ccc4c2df14cee2fa2bdc5233004eab6cb289723c,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57508,,https://chitalishta.com/index.php?act=community&do=detail1&id=82499,https://chitalishta.com/index.php?act=community&do=detail1&id=96176,
1736,Действащо,Просвета -1911г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,ГРАД ГЪЛЪБОВО,"„Мадара” 1, ж.к. Васил Левски, п.к.6285",000804282,Иванка Димитрова Тенева,Ваня Петкова Колева,prosveta_1911@abv.bg,0418/6 24 14 ;0879219292,-,https://chitalishta.com/index.php?act=community&do=detail&id=1543&reg_num=1736,http://bibliobg.com/index.php?act=community&do=detail&hash=21382db527d611f87478afafd8be0d6cfe9b5a2e,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56822,https://chitalishta.com/index.php?act=community&do=detail1&id=68162,https://chitalishta.com/index.php?act=community&do=detail1&id=79916,https://chitalishta.com/index.php?act=community&do=detail1&id=97248,https://chitalishta.com/index.php?act=community&do=detail1&id=107868
1737,Действащо,Отец Паисий-1924 г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО ОБРУЧИЩЕ,"Партизанска 25, п.к.6290",123104137,Даниела Гошева Жекова,Пенка Стоянова Маркова,otecpaisij1924@abv.bg,04152 2503;0877830708;  0899 902 329,-,https://chitalishta.com/index.php?act=community&do=detail&id=1544&reg_num=1737,http://bibliobg.com/index.php?act=community&do=detail&hash=19f3de7ce48a2571abdb2e34fab186e6b8dbc0ba,,,https://chitalishta.com/index.php?act=community&do=detail1&id=48638,,,https://chitalishta.com/index.php?act=community&do=detail1&id=85227,https://chitalishta.com/index.php?act=community&do=detail1&id=97608,
1738,Действащо,Мара Станева -1927 г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,ГРАД ГЪЛЪБОВО,"Бор 29, кв.Митьо Станев, п.к.6280",000804802,Росица Димитрова Банева,Радка Тенева Стойчева,n.ch.marastaneva1927@abv.bg,0878831331,-,https://chitalishta.com/index.php?act=community&do=detail&id=1545&reg_num=1738,http://bibliobg.com/index.php?act=community&do=detail&hash=20268767802ff8e5aec558989a5d568fae9f0280,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54247,https://chitalishta.com/index.php?act=community&do=detail1&id=70915,https://chitalishta.com/index.php?act=community&do=detail1&id=83375,https://chitalishta.com/index.php?act=community&do=detail1&id=97657,https://chitalishta.com/index.php?act=community&do=detail1&id=109690
1739,Действащо,Зора-1928г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО МУСАЧЕВО,п.к. 6284,000804791,Катя Димова Желязкова,Тинка Господинова Стоянова,zora_musachevo@abv.bg,04106/260;0899179325,-,https://chitalishta.com/index.php?act=community&do=detail&id=1546&reg_num=1739,http://bibliobg.com/index.php?act=community&do=detail&hash=28948df8ddfc9349ba2d841aa9e975ac0c9a69da,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=66185,https://chitalishta.com/index.php?act=community&do=detail1&id=84498,https://chitalishta.com/index.php?act=community&do=detail1&id=96372,
1740,Действащо,Никола Г. Астаджов-1926,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО АПРИЛОВО,п.к.6281,000804777,Ваня Тодорова Чакърова,Мария Йорданова Стоянова,nikola.g.astadjov@abv.bg,04156/23 32,-,https://chitalishta.com/index.php?act=community&do=detail&id=1547&reg_num=1740,http://bibliobg.com/index.php?act=community&do=detail&hash=1102768d8a012f821849249384385bc1176bd370,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=70383,https://chitalishta.com/index.php?act=community&do=detail1&id=86624,https://chitalishta.com/index.php?act=community&do=detail1&id=95658,
1741,Действащо,Развитие-1921,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО МЕДНИКАРОВО,"Волга 6, п.к. 6294",000805306,Драгомир Желязков Атанасов,Павлина Колева Иванова,chitalishte_razvitie1921@abv.bg,0895493141; 04154/2333,-,https://chitalishta.com/index.php?act=community&do=detail&id=1548&reg_num=1741,http://bibliobg.com/index.php?act=community&do=detail&hash=de638b39380cb7d34ea44aea7f04e8a1b492abe5,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53777,https://chitalishta.com/index.php?act=community&do=detail1&id=67725,https://chitalishta.com/index.php?act=community&do=detail1&id=85237,https://chitalishta.com/index.php?act=community&do=detail1&id=95501,
1742,Действащо,Народно самообразование-1925г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО ИСКРИЦА,п.к.6293,000805402,Енчо Гочев Енев,Радостинка Стоянова Чалъкова,r.a.d.o.s.t@abv.bg,04158/22 02; 0884226831,-,https://chitalishta.com/index.php?act=community&do=detail&id=1549&reg_num=1742,http://bibliobg.com/index.php?act=community&do=detail&hash=0212f1d5afe35b604d9ee97b086c6f398c9fc7ac,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56068,https://chitalishta.com/index.php?act=community&do=detail1&id=68355,https://chitalishta.com/index.php?act=community&do=detail1&id=83954,https://chitalishta.com/index.php?act=community&do=detail1&id=99482,
1743,Действащо,Христо Ботев-1907г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО МЪДРЕЦ,"Петко Матев16,  п.к.6292",000805391,Мирослава Динева Динева,Милена Василева Минкова,hr.botev_1907g@abv.bg,04153/ 23 31  0898624811,-,https://chitalishta.com/index.php?act=community&do=detail&id=1550&reg_num=1743,http://bibliobg.com/index.php?act=community&do=detail&hash=e154506febe74fc28f1a2eb77063811ae71e4fed,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=64159,https://chitalishta.com/index.php?act=community&do=detail1&id=84975,https://chitalishta.com/index.php?act=community&do=detail1&id=96699,https://chitalishta.com/index.php?act=community&do=detail1&id=106654
1744,Действащо,Георги Сава Раковски-1921г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО ГЛАВАН,"Комсомолска 2, п.к.6295",000804713,Севдалина Живкова Димитрова,Делияна Стоева Вълчева,Deliyna_Stoeva@abv.bg,04155/260; 0896 446923,-,https://chitalishta.com/index.php?act=community&do=detail&id=1551&reg_num=1744,http://bibliobg.com/index.php?act=community&do=detail&hash=8d3d044eb974b32a2a09c76357f5ce58314295a7,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=63218,https://chitalishta.com/index.php?act=community&do=detail1&id=84090,https://chitalishta.com/index.php?act=community&do=detail1&id=96137,https://chitalishta.com/index.php?act=community&do=detail1&id=105783
1745,Действащо,Отец Паисий-1937г.,СТАРА ЗАГОРА,ГЪЛЪБОВО,СЕЛО ПОМОЩНИК,п.к. 6297;,000804720,Виолета Златева Янева,Данка Димитрова Щърбева,danka_1937@abv.bg,04155/2380; 0894728445,-,https://chitalishta.com/index.php?act=community&do=detail&id=1552&reg_num=1745,http://bibliobg.com/index.php?act=community&do=detail&hash=54f7ed1b705bab26d50fd29d9a5a6fc76fa5661f,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65350,https://chitalishta.com/index.php?act=community&do=detail1&id=84266,https://chitalishta.com/index.php?act=community&do=detail1&id=96633,https://chitalishta.com/index.php?act=community&do=detail1&id=107604
1746,Действащо,Стойне Ангелов -1932,СОФИЯ,САМОКОВ,СЕЛО БЕЛИ ИСКЪР,п.к.2011,000762772,Диана Райчова Терзийска,Галя Йорданова Петрова,chitali6teangelov@abv.bg; pepa_kajmakanova@abv.bg,0878270272; 0899925401,-,https://chitalishta.com/index.php?act=community&do=detail&id=1553&reg_num=1746,http://bibliobg.com/index.php?act=community&do=detail&hash=54042206d3d0f9acf087f82386dd623c4446b395,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=62888,https://chitalishta.com/index.php?act=community&do=detail1&id=79772,https://chitalishta.com/index.php?act=community&do=detail1&id=96311,
1747,Действащо,Васил Левски-1943,СОФИЯ,ГОРНА МАЛИНА,СЕЛО ДОЛНА МАЛИНА,п.к.2107,000761176,Анелия Димитрова Пешова,Бонка Неделкова Цветанова,dolnamalina_gm@mail.bg,07159/24 00; 0876403292,-,https://chitalishta.com/index.php?act=community&do=detail&id=1554&reg_num=1747,http://bibliobg.com/index.php?act=community&do=detail&hash=b2759468c4e79cbdbbd16a0e64d225b3b1f95bd1,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=75102,https://chitalishta.com/index.php?act=community&do=detail1&id=86635,https://chitalishta.com/index.php?act=community&do=detail1&id=97762,https://chitalishta.com/index.php?act=community&do=detail1&id=109697
1748,Действащо,Напредък 1912,ВЕЛИКО ТЪРНОВО,ЗЛАТАРИЦА,СЕЛО РОДИНА,"Първа 2, п.к. 5092",000125057,Марияна Михайлова Милева,Севи Иванова,mileva66@abv.bg,0898702202,-,https://chitalishta.com/index.php?act=community&do=detail&id=1555&reg_num=1748,http://bibliobg.com/index.php?act=community&do=detail&hash=5e1639127db773cfc5ee4ccd86d909b8a5377ddd,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=60390,https://chitalishta.com/index.php?act=community&do=detail1&id=70024,https://chitalishta.com/index.php?act=community&do=detail1&id=87201,https://chitalishta.com/index.php?act=community&do=detail1&id=100793,
1749,Действащо,Иван Денкоглу-1927,СОФИЯ-ГРАД,СТОЛИЧНА,СЕЛО БАЛША,"Просвета 1, р-н Нови Искър",000672165,Ганка Спасова Дилчовска,Димитър Цветанов,denkoglu_balsha@abv.bg,02/ 998 80 03,-,https://chitalishta.com/index.php?act=community&do=detail&id=3029&reg_num=1749,http://bibliobg.com/index.php?act=community&do=detail&hash=3a66b4b75e4d9bbe3347c505c9dab349f57af55b,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=63300,https://chitalishta.com/index.php?act=community&do=detail1&id=78434,https://chitalishta.com/index.php?act=community&do=detail1&id=93649,https://chitalishta.com/index.php?act=community&do=detail1&id=104216
1750,Действащо,Просвета 1927-Драгаш войвода,ПЛЕВЕН,НИКОПОЛ,СЕЛО ДРАГАШ ВОЙВОДА,Петър Велчев 73 п.к. 5952,114096588,Магарита Георгиева Динкова,Маргарита Сорева,drprosveta_1927@abv.bg,08782810323,-,https://chitalishta.com/index.php?act=community&do=detail&id=1556&reg_num=1750,http://bibliobg.com/index.php?act=community&do=detail&hash=ce65774c084e93476a86d9c3c7849438444321d4,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57722,https://chitalishta.com/index.php?act=community&do=detail1&id=68679,https://chitalishta.com/index.php?act=community&do=detail1&id=88389,https://chitalishta.com/index.php?act=community&do=detail1&id=92344,
1751,Действащо,Просвета 1910,СЛИВЕН,ТВЪРДИЦА,СЕЛО СБОРИЩЕ,"Георги Димитров 10, п.к.8899",000583193,Цонка Петкова Андреева,Дора Илиева Стоянова,biblioteka_sborishte_tv@abv.bg,04595/2265; 0898829600; 0893334024,-,https://chitalishta.com/index.php?act=community&do=detail&id=1557&reg_num=1751,http://bibliobg.com/index.php?act=community&do=detail&hash=7fe5994b8714cc85775bfc8a936bd19d1bf254b6,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=52928,https://chitalishta.com/index.php?act=community&do=detail1&id=69155,https://chitalishta.com/index.php?act=community&do=detail1&id=83515,https://chitalishta.com/index.php?act=community&do=detail1&id=95396,https://chitalishta.com/index.php?act=community&do=detail1&id=109917
1752,Действащо,Н.Й.Вапцаров 1934,ШУМЕН,ВЪРБИЦА,СЕЛО МЕНГИШЕВО,"Георги Димитров 6, п.к.9885",000924029,Медиха Аптулова Исуфова,Емел Ахмед Петрова,chitalishte.n.y.v1934@abv.bg,05391/215; 0884851164,-,https://chitalishta.com/index.php?act=community&do=detail&id=1558&reg_num=1752,http://bibliobg.com/index.php?act=community&do=detail&hash=a9cce808b7410c5a2f8553c166176a21458f0275,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=61928,https://chitalishta.com/index.php?act=community&do=detail1&id=78221,https://chitalishta.com/index.php?act=community&do=detail1&id=95550,https://chitalishta.com/index.php?act=community&do=detail1&id=109328
1753,Действащо,Светлина 1928,ВАРНА,ДЪЛГОПОЛ,СЕЛО САВА,п.к.9251,000084646,Любен Иванов Сеферов,Стоянка Димитрова Йорданова,nchsvetlina1928_sava@abv.bg,0885072261,-,https://chitalishta.com/index.php?act=community&do=detail&id=1559&reg_num=1753,http://bibliobg.com/index.php?act=community&do=detail&hash=5169272194c680e29b39664478f6a1c6cdffb19f,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56071,https://chitalishta.com/index.php?act=community&do=detail1&id=69489,https://chitalishta.com/index.php?act=community&do=detail1&id=83698,https://chitalishta.com/index.php?act=community&do=detail1&id=99702,
1754,Действащо,Народно съзнание 1897,ПЛЕВЕН,КНЕЖА,СЕЛО БРЕНИЦА,"Стефан Кратунски 52, п.к. 5834",000184212,Николай Михайлов Кончарски,Йорданка Андреева Плешковска,nc_ns_brenica@abv.bg,09145/23 15,-,https://chitalishta.com/index.php?act=community&do=detail&id=3030&reg_num=1754,http://bibliobg.com/index.php?act=community&do=detail&hash=fa9a93c0af540f059fd4d55bf86264db88960cc0,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=64717,https://chitalishta.com/index.php?act=community&do=detail1&id=88568,https://chitalishta.com/index.php?act=community&do=detail1&id=91897,https://chitalishta.com/index.php?act=community&do=detail1&id=105529
1755,Действащо,Иван Вазов -1928,СОФИЯ,ЕЛИН ПЕЛИН,СЕЛО НОВИ ХАН,"Пловдивско шосе 39 А, п.к.2110",000761564,Сашка Николова Ненова-Николчова,Румяна Крумова Стоева,chitalishte_nh@abv.bg,0725/60554; 0877152038,-,https://chitalishta.com/index.php?act=community&do=detail&id=1560&reg_num=1755,http://bibliobg.com/index.php?act=community&do=detail&hash=9a3e46f20d9ff31caa2df3f714c3f51e33ac31ca,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57685,https://chitalishta.com/index.php?act=community&do=detail1&id=75028,https://chitalishta.com/index.php?act=community&do=detail1&id=83574,https://chitalishta.com/index.php?act=community&do=detail1&id=101046,
1756,Действащо,Стоян Богданлийски 1931,СОФИЯ,ЕЛИН ПЕЛИН,СЕЛО ГАБРА,Христо Ботев 18; п.к.2112,000760947,Пламен Павлов Цветков,Магдалена Георгиева Спасова,st.bogdanliyski@abv.bg,071506/919; 0885523770,-,https://chitalishta.com/index.php?act=community&do=detail&id=1561&reg_num=1756,http://bibliobg.com/index.php?act=community&do=detail&hash=540d2a242b06a19ce4c2381982faebedee746b43,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57473,,https://chitalishta.com/index.php?act=community&do=detail1&id=82270,https://chitalishta.com/index.php?act=community&do=detail1&id=95608,
1757,Действащо,Светлина 1926 - Моравица,ВРАЦА,МЕЗДРА,СЕЛО МОРАВИЦА,"Околчица 18, п.к.3145",000184917,Росен Валентинов Ценов,Янка Миткова Николова-Георгиева,svetlina1926m@abv.bg,0885/983275,-,https://chitalishta.com/index.php?act=community&do=detail&id=1562&reg_num=1757,http://bibliobg.com/index.php?act=community&do=detail&hash=87947fbc661c257527d544e4dad7569c6d4901ca,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58363,https://chitalishta.com/index.php?act=community&do=detail1&id=70197,https://chitalishta.com/index.php?act=community&do=detail1&id=87758,https://chitalishta.com/index.php?act=community&do=detail1&id=97253,https://chitalishta.com/index.php?act=community&do=detail1&id=108895
1758,Действащо,Подем - Руска Бела 1928,ВРАЦА,МЕЗДРА,СЕЛО РУСКА БЕЛА,"Христо Ботев 3, п.к.3148",000183847,ДАниела Владинова Владинова,Силвия Милчова Митова,silviq_7302@abv.bg,0885 / 983285,-,https://chitalishta.com/index.php?act=community&do=detail&id=3031&reg_num=1758,http://bibliobg.com/index.php?act=community&do=detail&hash=5ef9b221847b45728bcded33803c8c26216fa36b,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58480,https://chitalishta.com/index.php?act=community&do=detail1&id=71308,https://chitalishta.com/index.php?act=community&do=detail1&id=83805,https://chitalishta.com/index.php?act=community&do=detail1&id=92767,https://chitalishta.com/index.php?act=community&do=detail1&id=109023
1759,Действащо,Светлина -1905г.,СОФИЯ,МИРКОВО,СЕЛО БУНОВО,п.к.2074,000762404,Милена Любомирова Петровска,Богдан Асенов Богданов,chitalishebunovo@abv.bg,07187/22-50; 0887288189,-,https://chitalishta.com/index.php?act=community&do=detail&id=1563&reg_num=1759,http://bibliobg.com/index.php?act=community&do=detail&hash=eef7001e360dbd1f879591a11f2bf91ae87b46a8,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56022,,https://chitalishta.com/index.php?act=community&do=detail1&id=78519,https://chitalishta.com/index.php?act=community&do=detail1&id=99943,
1760,Действащо,Извор 1873,ВЕЛИКО ТЪРНОВО,ВЕЛИКО ТЪРНОВО,СЕЛО САМОВОДЕНЕ,"Отец Паисий  48, п.к.5040",104068957,Рена Цецова Дранкюлева,Бисерка Станчева,bibliotekasamovodene@abv.bg,0886436456,-,https://chitalishta.com/index.php?act=community&do=detail&id=1564&reg_num=1760,http://bibliobg.com/index.php?act=community&do=detail&hash=42fa886f2aad0dc6dbb511062a54f4de168e4cb9,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=60363,https://chitalishta.com/index.php?act=community&do=detail1&id=72557,https://chitalishta.com/index.php?act=community&do=detail1&id=83668,https://chitalishta.com/index.php?act=community&do=detail1&id=99481,https://chitalishta.com/index.php?act=community&do=detail1&id=110233
1761,Действащо,Светлина с.Кубратово - 1915,СОФИЯ-ГРАД,СТОЛИЧНА,СЕЛО КУБРАТОВО,"пл.Куманица 1, р-н Нови Искър, п.к.1257",000672279,Кристина Асенова Стоименова,Милена Найденова Борисова,svetlina_kub@abv.bg,0899129970; 02/9366850,,https://chitalishta.com/index.php?act=community&do=detail&id=3032&reg_num=1761,http://bibliobg.com/index.php?act=community&do=detail&hash=4d296a37f2d349d2549a3cb97a787f5b9deab8e0,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65298,https://chitalishta.com/index.php?act=community&do=detail1&id=81433,https://chitalishta.com/index.php?act=community&do=detail1&id=96300,https://chitalishta.com/index.php?act=community&do=detail1&id=108920
1762,Действащо,Христо Ботев-1925,СОФИЯ,ДРАГОМАН,СЕЛО ГАБЕР,п.к.2215,000760829,Гинка Кольова Маркова,Здравка Ерменова Цветкова,hristo.botev66@abv.bg,07175 / 22 50;08796596126,-,https://chitalishta.com/index.php?act=community&do=detail&id=1565&reg_num=1762,http://bibliobg.com/index.php?act=community&do=detail&hash=d7c9414b78fa0b66ecba0f99ec469649819309f7,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57500,https://chitalishta.com/index.php?act=community&do=detail1&id=75483,https://chitalishta.com/index.php?act=community&do=detail1&id=80094,https://chitalishta.com/index.php?act=community&do=detail1&id=100775,
1763,Действащо,Димчо Дебелянов-1960,СОФИЯ-ГРАД,СТОЛИЧНА,ГРАД СОФИЯ,"ж.к. Яворов, бл.29, р-н Слатина, п.к.1111",000671631,Татяна Пандурска,Славея Стойчева,debelqnov@abv.bg,02/ 870 11 65,-,https://chitalishta.com/index.php?act=community&do=detail&id=3033&reg_num=1763,http://bibliobg.com/index.php?act=community&do=detail&hash=d9b03c47a8b8c2995eb095152cef96b7df433b6c,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=71641,https://chitalishta.com/index.php?act=community&do=detail1&id=77967,https://chitalishta.com/index.php?act=community&do=detail1&id=94279,https://chitalishta.com/index.php?act=community&do=detail1&id=106567
1764,Действащо,Христо Ботев 1913,РАЗГРАД,ЗАВЕТ,СЕЛО ПРЕЛЕЗ,"Лудогорие 45, п.к.7325",000500137,Сезгин Али Юмер,Севил Февзи Осман,nchprelez@abv.bg,0893319027; 086632323,-,https://chitalishta.com/index.php?act=community&do=detail&id=1566&reg_num=1764,http://bibliobg.com/index.php?act=community&do=detail&hash=67fe3bf0564ea7f374a3a91a2052d33742632587,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=52190,https://chitalishta.com/index.php?act=community&do=detail1&id=67247,https://chitalishta.com/index.php?act=community&do=detail1&id=79245,https://chitalishta.com/index.php?act=community&do=detail1&id=92324,
1765,Действащо,Съзнание 1928,ШУМЕН,ВЕЛИКИ ПРЕСЛАВ,СЕЛО ХАН КРУМ,"Преслав 17,  п.к.9863",000924246,Галин Костадинов Бенев,Керанка  Димитрова  Ефтимова,saznanie1928hk@abv.bg,0898909262,,https://chitalishta.com/index.php?act=community&do=detail&id=1567&reg_num=1765,http://bibliobg.com/index.php?act=community&do=detail&hash=3c6a2de439116ba6bcbb69d7c433483c4f91feb2,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=70966,https://chitalishta.com/index.php?act=community&do=detail1&id=84474,https://chitalishta.com/index.php?act=community&do=detail1&id=96482,
1766,Действащо,Отец Паисий-1912,РУСЕ,ДВЕ МОГИЛИ,СЕЛО ОСТРИЦА,"Георги Димитров 43, п.к.7161",117067296,Павлинка Борисова Петрова,-,chitalishte1912@abv.bg,0888620382,-,https://chitalishta.com/index.php?act=community&do=detail&id=1568&reg_num=1766,http://bibliobg.com/index.php?act=community&do=detail&hash=149270633810526abc443bde2f7f6e9e81d50804,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54695,https://chitalishta.com/index.php?act=community&do=detail1&id=68710,https://chitalishta.com/index.php?act=community&do=detail1&id=79332,https://chitalishta.com/index.php?act=community&do=detail1&id=101777,https://chitalishta.com/index.php?act=community&do=detail1&id=105726
1767,Действащо,Развитие -1921,ПЛЕВЕН,БЕЛЕНЕ,СЕЛО ТАТАРИ,"Георги  Димитров 57, п.к. 5934",000404950,Нелка Богомилова Андреева,Албена Михайлова Любенова,razvitie_tatari@abv.bg,064/991 764,-,https://chitalishta.com/index.php?act=community&do=detail&id=1569&reg_num=1767,http://bibliobg.com/index.php?act=community&do=detail&hash=fb6e4fbd51173a2261bb5f846d73479dad4db02b,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=63279,https://chitalishta.com/index.php?act=community&do=detail1&id=88585,https://chitalishta.com/index.php?act=community&do=detail1&id=92186,https://chitalishta.com/index.php?act=community&do=detail1&id=105587
1768,Действащо,Сила -1919,ТЪРГОВИЩЕ,АНТОНОВО,СЕЛО МОРАВКА,"Вихрен 22, п.к.7992",000868954,Али Алиев Местанов,Мариана Стефанова Малчева,moravkalib.tg@abv.bg,0894706009,-,https://chitalishta.com/index.php?act=community&do=detail&id=1570&reg_num=1768,http://bibliobg.com/index.php?act=community&do=detail&hash=5aa29f840ac7c05a018e55cccf971d964a77ec42,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54812,https://chitalishta.com/index.php?act=community&do=detail1&id=73148,https://chitalishta.com/index.php?act=community&do=detail1&id=84962,https://chitalishta.com/index.php?act=community&do=detail1&id=98022,
1769,Действащо,Пробуда-1934,ЯМБОЛ,СТРАЛДЖА,СЕЛО ЧАРДА,"Първи май 1, п.к. 8692",000963587,Георги Митев Георгиев,Калудка Пенчева Иванова,chitalishte_charda@abv.bg,0894354193; 0885146536,-,https://chitalishta.com/index.php?act=community&do=detail&id=1571&reg_num=1769,http://bibliobg.com/index.php?act=community&do=detail&hash=e1cb06500c4328811c129eb7508ac95b0477cfe2,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=56101,https://chitalishta.com/index.php?act=community&do=detail1&id=71171,https://chitalishta.com/index.php?act=community&do=detail1&id=83358,https://chitalishta.com/index.php?act=community&do=detail1&id=101340,
1770,Действащо,Пробуда -1928,ЯМБОЛ,ТУНДЖА,СЕЛО МОГИЛА,"Възраждане 17, п.к.8627",000963548,Димитър Дучев Койчев,Костадинка Маринова Арабаджиева,izgrev.13@abv.bg,0878453838,-,https://chitalishta.com/index.php?act=community&do=detail&id=1572&reg_num=1770,http://bibliobg.com/index.php?act=community&do=detail&hash=3276ff64fdd6bf1b3dea2109dc959e56537916a7,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57439,https://chitalishta.com/index.php?act=community&do=detail1&id=74426,https://chitalishta.com/index.php?act=community&do=detail1&id=88109,https://chitalishta.com/index.php?act=community&do=detail1&id=101688,
